Obs	A	B	N    Sample_Mean Sample_SD
1	a1	b1	20	10.7	8.3
2	a1	b1	20	8.9	8.3
3	a1	b1	20	9.8	7.8
4	a1	b1	20	9.8	8.2
5	a1	b1	20	9.6	8.2
6	a1	b1	20	13.5	8.3
7	a1	b1	20	9	8.3
8	a1	b1	20	10.7	7.5
9	a1	b1	20	12.3	7.9
10	a1	b1	20	13.2	8.1
11	a1	b2	20	12.1	7.2
12	a1	b2	20	13.4	6.6
13	a1	b2	20	12.5	7.2
14	a1	b2	20	11.1	6.5
15	a1	b2	20	13	7.1
16	a1	b2	20	12.3	6.6
17	a1	b2	20	12.5	7.3
18	a1	b2	20	13.2	6.7
19	a1	b2	20	10.8	6.5
20	a1	b2	20	11.3	7.4
21	a1	b3	20	17.5	7.9
22	a1	b3	20	12.8	8.3
23	a1	b3	20	15	8
24	a1	b3	20	15.7	7.7
25	a1	b3	20	15.2	8.4
26	a1	b3	20	12.5	8.5
27	a1	b3	20	17.4	8.4
28	a1	b3	20	13.5	7.9
29	a1	b3	20	16.2	7.6
30	a1	b3	20	14.5	8.3
31	a2	b1	20	7.8	6.9
32	a2	b1	20	9	6.7
33	a2	b1	20	6.4	7
34	a2	b1	20	4.4	7.2
35	a2	b1	20	9	6.6
36	a2	b1	20	9.4	7.3
37	a2	b1	20	7.4	7.1
38	a2	b1	20	8.8	6.6
39	a2	b1	20	10	7.2
40	a2	b1	20	9.2	6.8
41	a2	b2	20	5.5	6.7
42	a2	b2	20	5.7	7.1
43	a2	b2	20	9.8	6.8
44	a2	b2	20	7.4	6.7
45	a2	b2	20	5.9	6.9
46	a2	b2	20	8	7.2
47	a2	b2	20	6.7	6.5
48	a2	b2	20	3.1	7.1
49	a2	b2	20	5.6	7.3
50	a2	b2	20	5	7.1
51	a2	b3	20	9.3	8.1
52	a2	b3	20	8.8	7.6
53	a2	b3	20	9.5	8
54	a2	b3	20	10.7	8.5
55	a2	b3	20	9.2	8.1
56	a2	b3	20	7.6	7.6
57	a2	b3	20	9.9	7.7
58	a2	b3	20	8.3	8.2
59	a2	b3	20	8.8	8
60	a2	b3	20	6.5	8.2
